source_file,experiment_name,status,completed,expected,observed,missing,notes
validation_wolfram_flat_10seed_200ep.pre_restart_20260422_214952.json,wolfram_flat_10seed_200ep,incomplete,false,150,30,"('euclidean', 2, 1);('euclidean', 2, 2);('euclidean', 2, 4);('euclidean', 2, 8);('euclidean', 2, 16);('euclidean', 3, 1);('euclidean', 3, 2);('euclidean', 3, 4);('euclidean', 3, 8);('euclidean', 3, 16);('euclidean', 4, 1);('euclidean', 4, 2);('euclidean', 4, 4);('euclidean', 4, 8);('euclidean', 4, 16);('euclidean', 5, 1);('euclidean', 5, 2);('euclidean', 5, 4);('euclidean', 5, 8);('euclidean', 5, 16);('euclidean', 6, 1);('euclidean', 6, 2);('euclidean', 6, 4);('euclidean', 6, 8);('euclidean', 6, 16);('euclidean', 7, 1);('euclidean', 7, 2);('euclidean', 7, 4);('euclidean', 7, 8);('euclidean', 7, 16);('euclidean', 8, 1);('euclidean', 8, 2);('euclidean', 8, 4);('euclidean', 8, 8);('euclidean', 8, 16);('euclidean', 9, 1);('euclidean', 9, 2);('euclidean', 9, 4);('euclidean', 9, 8);('euclidean', 9, 16);('none', 2, 1);('none', 2, 2);('none', 2, 4);('none', 2, 8);('none', 2, 16);('none', 3, 1);('none', 3, 2);('none', 3, 4);('none', 3, 8);('none', 3, 16);('none', 4, 1);('none', 4, 2);('none', 4, 4);('none', 4, 8);('none', 4, 16);('none', 5, 1);('none', 5, 2);('none', 5, 4);('none', 5, 8);('none', 5, 16);('none', 6, 1);('none', 6, 2);('none', 6, 4);('none', 6, 8);('none', 6, 16);('none', 7, 1);('none', 7, 2);('none', 7, 4);('none', 7, 8);('none', 7, 16);('none', 8, 1);('none', 8, 2);('none', 8, 4);('none', 8, 8);('none', 8, 16);('none', 9, 1);('none', 9, 2);('none', 9, 4);('none', 9, 8);('none', 9, 16)","expected 3 priors x 10 seeds x 5 horizons; checked by (prior, seed, horizon)"
codex_session.log,codex_session,failed,false,,starts=0; saves=0; lines=845,,"Script done on 2026-04-21 01:48:38+08:00 [COMMAND_EXIT_CODE=""130""]"
logs/flat_200ep_20260421_021613.log,flat_200ep_20260421_021613,incomplete,false,,starts=1; saves=0; lines=2123,,[flat|euclidean|seed=3] epoch 119/200 total=0.056 prior=3.799 H16_eval=0.26
logs/hyper_200ep_20260421_092926.log,hyper_200ep_20260421_092926,failed,false,,starts=1; saves=0; lines=7,,=== Finished at Tue Apr 21 09:29:26 CST 2026 (exit=$?) ===
logs/hyper_200ep_20260421_094750.log,hyper_200ep_20260421_094750,failed,false,,starts=1; saves=0; lines=7,,=== Finished at Tue Apr 21 09:47:50 CST 2026 (exit=$?) ===
logs/hyper_200ep_20260421_095059.log,hyper_200ep_20260421_095059,incomplete,false,,starts=1; saves=0; lines=676,,[hyper|none|seed=1] epoch 71/200 total=0.27 prior=0.00 H16_eval=0.84
logs/rmd17_10s_20260422_045621.log,rmd17_10s_20260422_045621,incomplete,false,,starts=27; saves=25; lines=366,,[aspirin|flat|spectral|seed=5] epoch  45/50 loss=0.0067 H8_eval=0.0837
logs/rmd17_lap_ablation_20260423_212621.log,rmd17_lap_ablation_20260423_212621,incomplete,false,,starts=8; saves=6; lines=89,,[aspirin|flat|spectral|seed=1] epoch  25/50 loss=0.0065 H8_eval=0.0542
logs/rmd17_lap_ablation_resume_20260424_005456.log,rmd17_lap_ablation_resume_20260424_005456,incomplete,false,,starts=15; saves=15; lines=196,,  -> saved partial results to rmd17_aspirin_laplacian_ablation.json
logs/rmd17_spec_resume_20260422_221936.log,rmd17_spec_resume_20260422_221936,incomplete,false,,starts=5; saves=5; lines=79,,DONE rmd17 aspirin spectral resume
logs/rmd17_weight_sweep_20260423_212615.log,rmd17_weight_sweep_20260423_212615,incomplete,false,,starts=8; saves=6; lines=93,,[aspirin|flat|spectral|seed=0] epoch  45/50 loss=0.0016 H8_eval=0.0346
logs/rmd17_weight_sweep_resume_20260424_005456.log,rmd17_weight_sweep_resume_20260424_005456,incomplete,false,,starts=27; saves=27; lines=352,,  -> saved partial results to rmd17_aspirin_weight_sweep.json
logs/wolfram_200ep_20260422_050446.log,wolfram_200ep_20260422_050446,incomplete,false,,starts=1; saves=2; lines=96,,[flat|spectral|seed=2] epoch 180/200 total=0.001 trans=0.000 prior=0.080 rollout_H8=0.06
logs/wolfram_resume2_20260423_114521.log,wolfram_resume2_20260423_114521,incomplete,false,,starts=1; saves=2; lines=79,,[flat|euclidean|seed=6] epoch 40/200 total=0.038 trans=0.000 prior=3.754 rollout_H8=0.06
logs/wolfram_resume_20260423_025154.log,wolfram_resume_20260423_025154,incomplete,false,,starts=1; saves=2; lines=69,,[flat|none|seed=4] epoch 40/200 total=0.000 trans=0.000 prior=0.000 rollout_H8=0.04
logs/wolfram_resume_20260424_005456.log,wolfram_resume_20260424_005456,incomplete,false,,starts=0; saves=4; lines=126,,[seed=9] saved partial results to validation_wolfram_flat_10seed_200ep.json
